date,datetime,season,team,elo,probability,conference,division
9/4/2014,2014-09-04,2014,SEA,1678.971,0.803040312,NFC,NFC West
9/7/2014,2014-09-07,2014,PHI,1528.1970000000001,0.791857968,NFC,NFC East
9/7/2014,2014-09-07,2014,PIT,1537.231,0.772161082,AFC,AFC North
9/7/2014,2014-09-07,2014,BAL,1529.779,0.549330189,AFC,AFC North
9/7/2014,2014-09-07,2014,TB,1436.161,0.392988268,NFC,NFC South
9/7/2014,2014-09-07,2014,DEN,1624.09,0.7020284920000001,AFC,AFC West
9/7/2014,2014-09-07,2014,LAR,1512.75,0.643936191,NFC,NFC West
9/7/2014,2014-09-07,2014,ATL,1458.825,0.42866094200000004,NFC,NFC South
9/7/2014,2014-09-07,2014,CHI,1493.5729999999999,0.643228434,NFC,NFC North
9/7/2014,2014-09-07,2014,DAL,1501.0410000000002,0.38451455700000003,NFC,NFC East
9/7/2014,2014-09-07,2014,HOU,1384.864,0.572005773,AFC,AFC South
9/7/2014,2014-09-07,2014,KC,1503.4479999999999,0.642305829,AFC,AFC West
9/7/2014,2014-09-07,2014,MIA,1482.6070000000002,0.39117027600000004,AFC,AFC East
9/7/2014,2014-09-07,2014,NYJ,1465.72,0.715260958,AFC,AFC East
9/8/2014,2014-09-08,2014,ARI,1551.021,0.580108699,NFC,NFC West
9/8/2014,2014-09-08,2014,DET,1472.359,0.56073865,NFC,NFC North
9/11/2014,2014-09-11,2014,BAL,1506.57,0.541034547,AFC,AFC North
9/14/2014,2014-09-14,2014,BUF,1474.8870000000002,0.534458164,AFC,AFC East
9/14/2014,2014-09-14,2014,CAR,1591.474,0.71228085,NFC,NFC South
9/14/2014,2014-09-14,2014,CIN,1583.598,0.7308856140000001,AFC,AFC North
9/14/2014,2014-09-14,2014,WSH,1378.685,0.6313829870000001,NFC,NFC East
9/14/2014,2014-09-14,2014,CLE,1384.4379999999999,0.349277612,AFC,AFC North
9/14/2014,2014-09-14,2014,DEN,1635.6970000000001,0.794965936,AFC,AFC West
9/14/2014,2014-09-14,2014,GB,1489.0320000000002,0.611497025,NFC,NFC North
9/14/2014,2014-09-14,2014,MIN,1520.319,0.49159204,NFC,NFC North
9/14/2014,2014-09-14,2014,SF,1666.1879999999999,0.8138913940000001,NFC,NFC West
9/14/2014,2014-09-14,2014,NYG,1468.3020000000001,0.46638268200000005,NFC,NFC East
9/14/2014,2014-09-14,2014,LAC,1554.1960000000001,0.399815582,AFC,AFC West
9/14/2014,2014-09-14,2014,TEN,1504.915,0.623054514,AFC,AFC South
9/14/2014,2014-09-14,2014,TB,1421.375,0.527488148,NFC,NFC South
9/14/2014,2014-09-14,2014,OAK,1361.201,0.529529349,AFC,AFC West
